PHP CODE SNIFFER REPORT SUMMARY
--------------------------------------------------------------------------------
FILE                                                            ERRORS  WARNINGS
/vobs/xiec/trunk/packages/tmp/site/libraries/models/refund.php  1       0
.../xiec/trunk/packages/tmp/site/libraries/models/shipment.php  1       0
/vobs/xiec/trunk/packages/tmp/site/libraries/models/store.php   1       0
/vobs/xiec/trunk/packages/tmp/site/libraries/models/tag.php     1       0
.../xiec/trunk/packages/tmp/site/libraries/models/taxclass.php  1       0
/vobs/xiec/trunk/packages/tmp/site/libraries/models/user.php    1       0
/vobs/xiec/trunk/packages/tmp/site/libraries/models/zone.php    1       0
...s/xiec/trunk/packages/tmp/site/libraries/tables/country.php  1       0
.../xiec/trunk/packages/tmp/site/libraries/tables/currency.php  1       0
/vobs/xiec/trunk/packages/tmp/site/libraries/tables/field.php   1       0
.../xiec/trunk/packages/tmp/site/libraries/tables/fieldset.php  1       0
...s/xiec/trunk/packages/tmp/site/libraries/tables/geozone.php  1       0
...s/xiec/trunk/packages/tmp/site/libraries/tables/invoice.php  1       0
/vobs/xiec/trunk/packages/tmp/site/libraries/tables/order.php   1       0
/vobs/xiec/trunk/packages/tmp/site/libraries/tables/param.php   1       0
...s/xiec/trunk/packages/tmp/site/libraries/tables/product.php  1       0
/vobs/xiec/trunk/packages/tmp/site/libraries/tables/refund.php  1       0
.../xiec/trunk/packages/tmp/site/libraries/tables/shipment.php  1       0
/vobs/xiec/trunk/packages/tmp/site/libraries/tables/store.php   1       0
/vobs/xiec/trunk/packages/tmp/site/libraries/tables/tag.php     1       0
.../xiec/trunk/packages/tmp/site/libraries/tables/taxclass.php  1       0
/vobs/xiec/trunk/packages/tmp/site/libraries/tables/user.php    1       0
/vobs/xiec/trunk/packages/tmp/site/libraries/tables/zone.php    1       0
/vobs/xiec/trunk/packages/tmp/site/media/js/jquery-1.4.2.js     66      0
...runk/packages/tmp/site/media/js/jquery-ui-1.8.custom.min.js  627     0
.../xiec/trunk/packages/tmp/site/media/js/jquery.dataTables.js  225     0
/vobs/xiec/trunk/packages/tmp/site/media/js/slick.grid.js       26      0
/vobs/xiec/trunk/packages/tmp/site/models/product.php           1       0
/vobs/xiec/trunk/packages/tmp/site/tables/product.php           1       0
...unk/packages/tmp/site/templates/default/product/default.php  0       1
.../xiec/trunk/packages/tmp/site/views/dashboard/view.html.php  1       0
/vobs/xiec/trunk/packages/tmp/site/views/invoice/view.html.php  1       0
/vobs/xiec/trunk/packages/tmp/site/views/order/view.html.php    1       0
/vobs/xiec/trunk/packages/tmp/site/views/param/view.html.php    1       0
/vobs/xiec/trunk/packages/tmp/site/views/product/view.html.php  1       0
/vobs/xiec/trunk/packages/tmp/site/views/refund/view.html.php   1       0
...s/xiec/trunk/packages/tmp/site/views/shipment/view.html.php  1       0
/vobs/xiec/trunk/packages/tmp/site/views/store/view.html.php    1       0
/vobs/xiec/trunk/packages/tmp/site/views/tag/view.html.php      1       0
/vobs/xiec/trunk/packages/tmp/site/views/user/view.html.php     1       0
/vobs/xiec/trunk/packages/tmp/site/xiec.php                     3       0
--------------------------------------------------------------------------------
A TOTAL OF 1986 ERROR(S) AND 21 WARNING(S) WERE FOUND IN 191 FILE(S)
--------------------------------------------------------------------------------
